epoch,loss,val_loss,val_weight_stage1_acc,val_weight_stage1_loss,val_weight_stage2_acc,val_weight_stage2_loss,val_weight_stage3_acc,val_weight_stage3_loss,val_weight_stage4_acc,val_weight_stage4_loss,weight_stage1_acc,weight_stage1_loss,weight_stage2_acc,weight_stage2_loss,weight_stage3_acc,weight_stage3_loss,weight_stage4_acc,weight_stage4_loss
0,30.89013491493227,29.736043443282444,0.6135551531222605,7.429682520528634,0.667573416428197,7.423841029760384,0.6620241565008959,7.433648985411439,0.47133951784954187,7.448871027146067,0.15641580847628175,7.721018598952554,0.1598882424425311,7.72256775563692,0.16107896386557646,7.724400047890588,0.14598700814858756,7.7221485176733795
1,29.029232066558844,27.835055938788823,0.030078357487495634,7.007395027294045,0.027403041282446965,6.952861171747957,0.04411214202575918,6.943287997018723,0.428226260290969,6.931511576686587,0.17514033064076276,7.269567516191005,0.18374973921152216,7.25592049329335,0.1809721951993958,7.253983088211434,0.16219498187251016,7.249760978279014
2,28.180026488260108,27.46757965996152,0.6921111187409787,6.9250499950278375,0.6213223120818535,6.87877475860573,0.6933600718066806,6.8396333161564105,0.04408551901689775,6.824121563562325,0.17617806295476368,7.079094602010302,0.18259252610797444,7.041319880397474,0.18358486411836913,7.032842865616775,0.15973281604197181,7.026769148640006
3,27.205323560951296,26.316385819798423,0.4196180356666446,6.651331020253045,0.5507395719843251,6.578064319633302,0.6512900496877375,6.5486968493177775,0.4344242349089611,6.538293694456418,0.1349360323306531,6.868319254014329,0.15959365557173105,6.795963156154872,0.14785853266810833,6.774542480223727,0.15004630079018783,6.766498653377593
4,26.964089553434118,26.093953345503127,0.07329241068856347,6.599456678188982,0.045511009493133144,6.5220161119387265,0.6277204256149984,6.493067488074303,0.3693136741362867,6.479413001310258,0.1419379926316388,6.8211247707383125,0.16257513206768692,6.735406556568569,0.15692052819285218,6.708715530131444,0.15729331838802368,6.698842697751055
5,26.750722054504593,25.984070231517155,0.16775960295594164,6.584871660385813,0.5729582863194602,6.49643546910513,0.6043129186367705,6.459368910108294,0.4579711917433001,6.443394234137876,0.14677491379480614,6.778867604847349,0.1543784682237547,6.682033634212567,0.16853914814944246,6.650712405427424,0.15474431940287237,6.639108405867092
6,26.61163199129383,25.796417815344675,0.635782934370495,6.546810395660854,0.6558648974945148,6.448828177083106,0.6512611611258416,6.410524886278879,0.4441871859488033,6.390254299910295,0.14234004549831822,6.753426629348024,0.15556116889855895,6.647174459593177,0.15979402246035493,6.612208852468656,0.15239017991844628,6.5988220543465115
7,26.45430774482849,25.685982296864193,0.5708664098665828,6.533878530774798,0.5845005580534538,6.4201737479085015,0.6825806810742333,6.376762717962265,0.47294148873715175,6.35516725835346,0.15524736736985476,6.722573123015101,0.15283955221506226,6.60853265290966,0.17315486467615168,6.569584767033639,0.15678500365951645,6.553617179163203
8,26.27427697241202,25.506745210715703,0.06324863959369915,6.4950693270989825,0.03743373322677577,6.37929925819238,0.040993710419917034,6.327264206040473,0.3585699758536759,6.305112452024505,0.12955844361511215,6.686324100438454,0.13679860783580505,6.564540249676011,0.14892785522425772,6.521050880102258,0.15263723791292202,6.502361766709512
9,26.18675195495476,25.476178367932636,0.4127232138777063,6.492591603171258,0.5016911399683782,6.3724712537867685,0.6033451332755032,6.318893358820961,0.4509531946054527,6.292222143638702,0.1445667883734532,6.670009067387601,0.1399819334941731,6.542443423622827,0.1507498254119329,6.496877341904722,0.14880629313218569,6.477422109611439
